key,review_text,CSI,category,familiarity,impact,reason,explanation,reformulation
30932+self:USA+fiction,"Joyland was fantastic! The feel of an classic mystery story. A touch of paranormal. Stephen King's distinctive ability to give his character's believable voices. Desription so well written, you can smell the cotton candy and feel the stickiness of the humidity. You absolutely cannot go wrong with Joyland. Here's hoping Stephen King writes another in this genre because he does it extremely well.",cotton candy,Material,Somewhat familiar,Low,"While cotton candy is known in the USA, its cultural significance and sensory description might not be immediately relatable.","A fluffy, sugary treat often found at fairs and carnivals.","Joyland was fantastic! It felt like a classic mystery story with a touch of the paranormal. Stephen King's distinctive ability to give his characters believable voices shines through. The descriptions are so well written, you can almost taste the fairground treats and feel the humid air. You absolutely cannot go wrong with Joyland. Here's hoping Stephen King writes another in this genre because he does it extremely well."
30932+self:USA+fiction,"Joyland was fantastic! The feel of an classic mystery story. A touch of paranormal. Stephen King's distinctive ability to give his character's believable voices. Desription so well written, you can smell the cotton candy and feel the stickiness of the humidity. You absolutely cannot go wrong with Joyland. Here's hoping Stephen King writes another in this genre because he does it extremely well.",stickiness of the humidity,Ecology,Somewhat familiar,Low,"Humidity's sensory impact might not be as relatable to someone from an urban USA background, where air conditioning is common.","The moist, sticky feeling in the air during high humidity.","Joyland was fantastic! It felt like a classic mystery story with a touch of the paranormal. Stephen King's distinctive ability to give his characters believable voices shines through. The descriptions are so well written, you can almost taste the fairground treats and feel the humid air. You absolutely cannot go wrong with Joyland. Here's hoping Stephen King writes another in this genre because he does it extremely well."
91606+self:USA+fiction,"I hardly ever read non-fiction, but this one being written by Amitav Ghosh, a recent discovery of mine, I just had to try it. 
 I've found it very interesting to read about ""modern"" Egypt through Ghosh's decription of the time he spent there. For me this book is a sort of historic & anthropologic one. History has always been a passion of mine. Anthropology is something that I don't know much about, but am interested in. So, adding this the fact that it was written by someone who I think has a very captivating way of writing, you get a pretty absorbing book.",Amitav Ghosh,Linguistic,Somewhat familiar,Low,Amitav Ghosh is a well-known author in certain literary circles but may not be widely recognized in mainstream urban USA.,Amitav Ghosh is an Indian author known for his works blending history and fiction.,"I hardly ever read non-fiction, but since this one was written by Amitav Ghosh, a recent discovery of mine, I just had to try it. I've found it very interesting to read about contemporary Egypt through Ghosh's description of the time he spent there. For me, this book is a sort of historic and anthropologic one. History has always been a passion of mine. Anthropology is something that I don't know much about but am interested in. So, adding this to the fact that it was written by someone who I think has a very captivating way of writing, you get a pretty absorbing book."
91606+self:USA+fiction,"I hardly ever read non-fiction, but this one being written by Amitav Ghosh, a recent discovery of mine, I just had to try it. 
 I've found it very interesting to read about ""modern"" Egypt through Ghosh's decription of the time he spent there. For me this book is a sort of historic & anthropologic one. History has always been a passion of mine. Anthropology is something that I don't know much about, but am interested in. So, adding this the fact that it was written by someone who I think has a very captivating way of writing, you get a pretty absorbing book.",modern Egypt,Ecology,Somewhat familiar,Medium,"While Egypt is known, the term 'modern Egypt' may not be fully understood in its contemporary socio-political context.","Modern Egypt refers to the current state of Egypt, including its culture, politics, and society.","I hardly ever read non-fiction, but since this one was written by Amitav Ghosh, a recent discovery of mine, I just had to try it. I've found it very interesting to read about contemporary Egypt through Ghosh's description of the time he spent there. For me, this book is a sort of historic and anthropologic one. History has always been a passion of mine. Anthropology is something that I don't know much about but am interested in. So, adding this to the fact that it was written by someone who I think has a very captivating way of writing, you get a pretty absorbing book."
24151+self:USA+fiction,"To understand the true mastery of King, you have to read It. How he weaves this massive story together while oscillating between the past and the present and while keeping the reader on the edge of the seat throughout is something to behold. The psychological depth to which King explores in each of these characters is astounding, and I found myself feeling empathy towards each and every one, including It.",,,,,,,
99800+self:USA+fiction,"I started reading it long after watching the movie 3 idiots and a recommendation from friend. Once I started it it was difficult to put it down. It is most humours book I have read so far. The book did give you a sense of watching a movie. 
 I lived it because of humour ans sponteneousness of it. I dont have consider this as a literally novel. This book is written from a boys prespective so not an unbaised book as well. I myself is a topper from engineering institute and can relate to some incidents. Life described is not a mirror image of what happened but that is the beauty of fiction. Some parts I think were very relatable to the big bang theory I dont know who came first book or that season. 
 Still I gave it 5 star because once I started it is difficult to put it down. meaning it kept my interest.",3 idiots,Material,Somewhat familiar,Medium,The movie '3 Idiots' is popular in India but may not be widely known in the urban USA.,'3 Idiots' is a popular Indian movie about engineering students' lives.,"I started reading it long after watching the movie '3 Idiots' and a recommendation from a friend. Once I started it, it was difficult to put it down. It is the most humorous book I have read so far. The book gives you a sense of watching a movie. I loved it because of its humor and spontaneity. I don't consider this a literary novel. This book is written from a boy's perspective, so it's not an unbiased book. I am a top student from an engineering institute and can relate to some incidents. Life described is not a mirror image of what happened, but that is the beauty of fiction. Some parts were very relatable to 'The Big Bang Theory.' I don't know which came first, the book or that season. Still, I gave it 5 stars because once I started, it was difficult to put it down, meaning it kept my interest."
99800+self:USA+fiction,"I started reading it long after watching the movie 3 idiots and a recommendation from friend. Once I started it it was difficult to put it down. It is most humours book I have read so far. The book did give you a sense of watching a movie. 
 I lived it because of humour ans sponteneousness of it. I dont have consider this as a literally novel. This book is written from a boys prespective so not an unbaised book as well. I myself is a topper from engineering institute and can relate to some incidents. Life described is not a mirror image of what happened but that is the beauty of fiction. Some parts I think were very relatable to the big bang theory I dont know who came first book or that season. 
 Still I gave it 5 star because once I started it is difficult to put it down. meaning it kept my interest.",topper,Linguistic,Somewhat familiar,Low,"The term 'topper' is commonly used in Indian English to denote the highest-ranking student, which might be less familiar.",'Topper' means the highest-ranking student in a class or exam.,"I started reading it long after watching the movie '3 Idiots' and a recommendation from a friend. Once I started it, it was difficult to put it down. It is the most humorous book I have read so far. The book gives you a sense of watching a movie. I loved it because of its humor and spontaneity. I don't consider this a literary novel. This book is written from a boy's perspective, so it's not an unbiased book. I am a top student from an engineering institute and can relate to some incidents. Life described is not a mirror image of what happened, but that is the beauty of fiction. Some parts were very relatable to 'The Big Bang Theory.' I don't know which came first, the book or that season. Still, I gave it 5 stars because once I started, it was difficult to put it down, meaning it kept my interest."
49497+self:USA+fiction,"I would give this 4 and 1/2 stars. This was a very good book. The story was the saga of a group of people at a hospital in Ethiopia. The book told how they came together and led their lives over the next 25 to 30 years. The story of the identical twins, Marion and Shiva, was the focal point. It was well written and well told.",Ethiopia,Ecology,Somewhat familiar,Low,"Ethiopia is a country in Africa, which might not be as familiar to someone from urban USA.",Ethiopia is a country in East Africa known for its rich history and diverse cultures.,"I would give this 4 and 1/2 stars. This was a very good book. The story was the saga of a group of people at a hospital in Ethiopia, a country in East Africa. The book told how they came together and led their lives over the next 25 to 30 years. The story of the identical twins, Marion and Shiva, was the focal point. It was well written and well told."
49497+self:USA+fiction,"I would give this 4 and 1/2 stars. This was a very good book. The story was the saga of a group of people at a hospital in Ethiopia. The book told how they came together and led their lives over the next 25 to 30 years. The story of the identical twins, Marion and Shiva, was the focal point. It was well written and well told.",Marion and Shiva,Linguistic,Somewhat familiar,Low,"The names Marion and Shiva might not be common in urban USA, making them stand out.",Marion and Shiva are names of the identical twins in the story.,"I would give this 4 and 1/2 stars. This was a very good book. The story was the saga of a group of people at a hospital in Ethiopia, a country in East Africa. The book told how they came together and led their lives over the next 25 to 30 years. The story of the identical twins, Marion and Shiva, was the focal point. It was well written and well told."
91610+self:USA+fiction,"The vignettes from the life of a tiny poor Egyptian town are fascinating - a rare and vivid view into an isolated culture. The history part, however, is a disorganized, random info dump - it seemed to me he just put all his research notes into the book, without a narrative or cohesion. Too bad, because some part of it was interesting, but really, do we need a biography of everyone who came near the documents but failed to discover them?",tiny poor Egyptian town,Material,Somewhat familiar,Medium,The concept of a 'tiny poor Egyptian town' might be somewhat unfamiliar due to differing urban experiences in the USA.,"A small, impoverished town in Egypt, likely with different living conditions than urban USA.","The vignettes from the life of a small, impoverished Egyptian town are fascinating - a rare and vivid view into an isolated culture. The history part, however, is a disorganized, random info dump - it seemed to me he just put all his research notes into the book, without a narrative or cohesion. Too bad, because some part of it was interesting, but really, do we need a biography of everyone who came near the documents but failed to discover them?"
91612+self:USA+fiction,"Ghosh has a fantastically open and honest voice. A wonderful interweaving of past and present. This is how I like my history written. Medieval Islamic culture, India and Her trade with Egypt and Arabia, the Jewish diaspora and a discovery of medieval documents in a synagogue in the Old Town in Cairo and our modern fracture lines... the The common thread here, and common, I may add to most contemporary Indian writers with good reason, is the shifting and surprisingly amorphous boundaries between cultures. This book was written pre-9/11 and is very much a product of ""Imperialism Studies""so ""the West"" naturally bears the brunt of Ghosh's criticism. I am no fan of the Rachel Corrie crowd so his assumptions seem rather dated and forced. I wonder if he will write a preface? I think the basis of his assumptions about victim-hood and aggression, which he obviously inherited from the egregious Said, have been proved wanting. Yet if he hadn't written this book, then Sea of Poppies would never have come into being. So I am grateful.",Medieval Islamic culture,Customs,Somewhat familiar,Medium,Medieval Islamic culture may not be a common area of knowledge for someone with an urban USA background.,Refers to the culture and practices of Islamic societies during the medieval period.,"Ghosh has a fantastically open and honest voice. A wonderful interweaving of past and present. This is how I like my history written. The book explores medieval Islamic culture, India's trade with Egypt and Arabia, the Jewish diaspora, and the discovery of medieval documents in a synagogue in Cairo's Old Town, along with our modern fracture lines. The common thread, as with many contemporary Indian writers, is the shifting and surprisingly amorphous boundaries between cultures. Written before 9/11, it reflects 'Imperialism Studies,' so 'the West' bears much of Ghosh's criticism. I am no fan of the Rachel Corrie supporters, so his assumptions seem dated and forced. I wonder if he will write a preface? I think his assumptions about victimhood and aggression, inherited from Edward Said, have been proved wanting. Yet if he hadn't written this book, then 'Sea of Poppies' would never have come into being. So I am grateful."
91612+self:USA+fiction,"Ghosh has a fantastically open and honest voice. A wonderful interweaving of past and present. This is how I like my history written. Medieval Islamic culture, India and Her trade with Egypt and Arabia, the Jewish diaspora and a discovery of medieval documents in a synagogue in the Old Town in Cairo and our modern fracture lines... the The common thread here, and common, I may add to most contemporary Indian writers with good reason, is the shifting and surprisingly amorphous boundaries between cultures. This book was written pre-9/11 and is very much a product of ""Imperialism Studies""so ""the West"" naturally bears the brunt of Ghosh's criticism. I am no fan of the Rachel Corrie crowd so his assumptions seem rather dated and forced. I wonder if he will write a preface? I think the basis of his assumptions about victim-hood and aggression, which he obviously inherited from the egregious Said, have been proved wanting. Yet if he hadn't written this book, then Sea of Poppies would never have come into being. So I am grateful.",India and Her trade with Egypt and Arabia,Material,Somewhat familiar,Medium,"Historical trade relations between India, Egypt, and Arabia may not be well-known in urban USA culture.","Historical trade routes and exchanges between India, Egypt, and Arabia.","Ghosh has a fantastically open and honest voice. A wonderful interweaving of past and present. This is how I like my history written. The book explores medieval Islamic culture, India's trade with Egypt and Arabia, the Jewish diaspora, and the discovery of medieval documents in a synagogue in Cairo's Old Town, along with our modern fracture lines. The common thread, as with many contemporary Indian writers, is the shifting and surprisingly amorphous boundaries between cultures. Written before 9/11, it reflects 'Imperialism Studies,' so 'the West' bears much of Ghosh's criticism. I am no fan of the Rachel Corrie supporters, so his assumptions seem dated and forced. I wonder if he will write a preface? I think his assumptions about victimhood and aggression, inherited from Edward Said, have been proved wanting. Yet if he hadn't written this book, then 'Sea of Poppies' would never have come into being. So I am grateful."
91612+self:USA+fiction,"Ghosh has a fantastically open and honest voice. A wonderful interweaving of past and present. This is how I like my history written. Medieval Islamic culture, India and Her trade with Egypt and Arabia, the Jewish diaspora and a discovery of medieval documents in a synagogue in the Old Town in Cairo and our modern fracture lines... the The common thread here, and common, I may add to most contemporary Indian writers with good reason, is the shifting and surprisingly amorphous boundaries between cultures. This book was written pre-9/11 and is very much a product of ""Imperialism Studies""so ""the West"" naturally bears the brunt of Ghosh's criticism. I am no fan of the Rachel Corrie crowd so his assumptions seem rather dated and forced. I wonder if he will write a preface? I think the basis of his assumptions about victim-hood and aggression, which he obviously inherited from the egregious Said, have been proved wanting. Yet if he hadn't written this book, then Sea of Poppies would never have come into being. So I am grateful.",Jewish diaspora,Social,Somewhat familiar,Medium,The concept of the Jewish diaspora might not be fully understood by someone from an urban USA background.,"The dispersion of Jews beyond Israel, particularly during historical periods.","Ghosh has a fantastically open and honest voice. A wonderful interweaving of past and present. This is how I like my history written. The book explores medieval Islamic culture, India's trade with Egypt and Arabia, the Jewish diaspora, and the discovery of medieval documents in a synagogue in Cairo's Old Town, along with our modern fracture lines. The common thread, as with many contemporary Indian writers, is the shifting and surprisingly amorphous boundaries between cultures. Written before 9/11, it reflects 'Imperialism Studies,' so 'the West' bears much of Ghosh's criticism. I am no fan of the Rachel Corrie supporters, so his assumptions seem dated and forced. I wonder if he will write a preface? I think his assumptions about victimhood and aggression, inherited from Edward Said, have been proved wanting. Yet if he hadn't written this book, then 'Sea of Poppies' would never have come into being. So I am grateful."
91612+self:USA+fiction,"Ghosh has a fantastically open and honest voice. A wonderful interweaving of past and present. This is how I like my history written. Medieval Islamic culture, India and Her trade with Egypt and Arabia, the Jewish diaspora and a discovery of medieval documents in a synagogue in the Old Town in Cairo and our modern fracture lines... the The common thread here, and common, I may add to most contemporary Indian writers with good reason, is the shifting and surprisingly amorphous boundaries between cultures. This book was written pre-9/11 and is very much a product of ""Imperialism Studies""so ""the West"" naturally bears the brunt of Ghosh's criticism. I am no fan of the Rachel Corrie crowd so his assumptions seem rather dated and forced. I wonder if he will write a preface? I think the basis of his assumptions about victim-hood and aggression, which he obviously inherited from the egregious Said, have been proved wanting. Yet if he hadn't written this book, then Sea of Poppies would never have come into being. So I am grateful.",synagogue in the Old Town in Cairo,Material,Somewhat familiar,Medium,A synagogue in Cairo's Old Town may not be a familiar concept to someone from urban USA.,A Jewish place of worship located in the historic part of Cairo.,"Ghosh has a fantastically open and honest voice. A wonderful interweaving of past and present. This is how I like my history written. The book explores medieval Islamic culture, India's trade with Egypt and Arabia, the Jewish diaspora, and the discovery of medieval documents in a synagogue in Cairo's Old Town, along with our modern fracture lines. The common thread, as with many contemporary Indian writers, is the shifting and surprisingly amorphous boundaries between cultures. Written before 9/11, it reflects 'Imperialism Studies,' so 'the West' bears much of Ghosh's criticism. I am no fan of the Rachel Corrie supporters, so his assumptions seem dated and forced. I wonder if he will write a preface? I think his assumptions about victimhood and aggression, inherited from Edward Said, have been proved wanting. Yet if he hadn't written this book, then 'Sea of Poppies' would never have come into being. So I am grateful."
91612+self:USA+fiction,"Ghosh has a fantastically open and honest voice. A wonderful interweaving of past and present. This is how I like my history written. Medieval Islamic culture, India and Her trade with Egypt and Arabia, the Jewish diaspora and a discovery of medieval documents in a synagogue in the Old Town in Cairo and our modern fracture lines... the The common thread here, and common, I may add to most contemporary Indian writers with good reason, is the shifting and surprisingly amorphous boundaries between cultures. This book was written pre-9/11 and is very much a product of ""Imperialism Studies""so ""the West"" naturally bears the brunt of Ghosh's criticism. I am no fan of the Rachel Corrie crowd so his assumptions seem rather dated and forced. I wonder if he will write a preface? I think the basis of his assumptions about victim-hood and aggression, which he obviously inherited from the egregious Said, have been proved wanting. Yet if he hadn't written this book, then Sea of Poppies would never have come into being. So I am grateful.",Imperialism Studies,Customs,Somewhat familiar,Medium,The academic field of Imperialism Studies may not be widely known in urban USA culture.,An academic field studying the effects and history of imperialism.,"Ghosh has a fantastically open and honest voice. A wonderful interweaving of past and present. This is how I like my history written. The book explores medieval Islamic culture, India's trade with Egypt and Arabia, the Jewish diaspora, and the discovery of medieval documents in a synagogue in Cairo's Old Town, along with our modern fracture lines. The common thread, as with many contemporary Indian writers, is the shifting and surprisingly amorphous boundaries between cultures. Written before 9/11, it reflects 'Imperialism Studies,' so 'the West' bears much of Ghosh's criticism. I am no fan of the Rachel Corrie supporters, so his assumptions seem dated and forced. I wonder if he will write a preface? I think his assumptions about victimhood and aggression, inherited from Edward Said, have been proved wanting. Yet if he hadn't written this book, then 'Sea of Poppies' would never have come into being. So I am grateful."
91612+self:USA+fiction,"Ghosh has a fantastically open and honest voice. A wonderful interweaving of past and present. This is how I like my history written. Medieval Islamic culture, India and Her trade with Egypt and Arabia, the Jewish diaspora and a discovery of medieval documents in a synagogue in the Old Town in Cairo and our modern fracture lines... the The common thread here, and common, I may add to most contemporary Indian writers with good reason, is the shifting and surprisingly amorphous boundaries between cultures. This book was written pre-9/11 and is very much a product of ""Imperialism Studies""so ""the West"" naturally bears the brunt of Ghosh's criticism. I am no fan of the Rachel Corrie crowd so his assumptions seem rather dated and forced. I wonder if he will write a preface? I think the basis of his assumptions about victim-hood and aggression, which he obviously inherited from the egregious Said, have been proved wanting. Yet if he hadn't written this book, then Sea of Poppies would never have come into being. So I am grateful.",Rachel Corrie crowd,Social,Unfamiliar,High,The reference to Rachel Corrie and her supporters may be obscure to someone from urban USA.,"Refers to supporters of Rachel Corrie, an American activist killed in Gaza.","Ghosh has a fantastically open and honest voice. A wonderful interweaving of past and present. This is how I like my history written. The book explores medieval Islamic culture, India's trade with Egypt and Arabia, the Jewish diaspora, and the discovery of medieval documents in a synagogue in Cairo's Old Town, along with our modern fracture lines. The common thread, as with many contemporary Indian writers, is the shifting and surprisingly amorphous boundaries between cultures. Written before 9/11, it reflects 'Imperialism Studies,' so 'the West' bears much of Ghosh's criticism. I am no fan of the Rachel Corrie supporters, so his assumptions seem dated and forced. I wonder if he will write a preface? I think his assumptions about victimhood and aggression, inherited from Edward Said, have been proved wanting. Yet if he hadn't written this book, then 'Sea of Poppies' would never have come into being. So I am grateful."
91612+self:USA+fiction,"Ghosh has a fantastically open and honest voice. A wonderful interweaving of past and present. This is how I like my history written. Medieval Islamic culture, India and Her trade with Egypt and Arabia, the Jewish diaspora and a discovery of medieval documents in a synagogue in the Old Town in Cairo and our modern fracture lines... the The common thread here, and common, I may add to most contemporary Indian writers with good reason, is the shifting and surprisingly amorphous boundaries between cultures. This book was written pre-9/11 and is very much a product of ""Imperialism Studies""so ""the West"" naturally bears the brunt of Ghosh's criticism. I am no fan of the Rachel Corrie crowd so his assumptions seem rather dated and forced. I wonder if he will write a preface? I think the basis of his assumptions about victim-hood and aggression, which he obviously inherited from the egregious Said, have been proved wanting. Yet if he hadn't written this book, then Sea of Poppies would never have come into being. So I am grateful.",egregious Said,Linguistic,Somewhat familiar,Medium,The reference to Edward Said may not be immediately clear to someone from urban USA.,"Refers to Edward Said, a scholar known for his work on post-colonial studies.","Ghosh has a fantastically open and honest voice. A wonderful interweaving of past and present. This is how I like my history written. The book explores medieval Islamic culture, India's trade with Egypt and Arabia, the Jewish diaspora, and the discovery of medieval documents in a synagogue in Cairo's Old Town, along with our modern fracture lines. The common thread, as with many contemporary Indian writers, is the shifting and surprisingly amorphous boundaries between cultures. Written before 9/11, it reflects 'Imperialism Studies,' so 'the West' bears much of Ghosh's criticism. I am no fan of the Rachel Corrie supporters, so his assumptions seem dated and forced. I wonder if he will write a preface? I think his assumptions about victimhood and aggression, inherited from Edward Said, have been proved wanting. Yet if he hadn't written this book, then 'Sea of Poppies' would never have come into being. So I am grateful."
91612+self:USA+fiction,"Ghosh has a fantastically open and honest voice. A wonderful interweaving of past and present. This is how I like my history written. Medieval Islamic culture, India and Her trade with Egypt and Arabia, the Jewish diaspora and a discovery of medieval documents in a synagogue in the Old Town in Cairo and our modern fracture lines... the The common thread here, and common, I may add to most contemporary Indian writers with good reason, is the shifting and surprisingly amorphous boundaries between cultures. This book was written pre-9/11 and is very much a product of ""Imperialism Studies""so ""the West"" naturally bears the brunt of Ghosh's criticism. I am no fan of the Rachel Corrie crowd so his assumptions seem rather dated and forced. I wonder if he will write a preface? I think the basis of his assumptions about victim-hood and aggression, which he obviously inherited from the egregious Said, have been proved wanting. Yet if he hadn't written this book, then Sea of Poppies would never have come into being. So I am grateful.",Sea of Poppies,Material,Somewhat familiar,Low,The book 'Sea of Poppies' may not be widely known in urban USA culture.,"A novel by Amitav Ghosh, part of the Ibis trilogy.","Ghosh has a fantastically open and honest voice. A wonderful interweaving of past and present. This is how I like my history written. The book explores medieval Islamic culture, India's trade with Egypt and Arabia, the Jewish diaspora, and the discovery of medieval documents in a synagogue in Cairo's Old Town, along with our modern fracture lines. The common thread, as with many contemporary Indian writers, is the shifting and surprisingly amorphous boundaries between cultures. Written before 9/11, it reflects 'Imperialism Studies,' so 'the West' bears much of Ghosh's criticism. I am no fan of the Rachel Corrie supporters, so his assumptions seem dated and forced. I wonder if he will write a preface? I think his assumptions about victimhood and aggression, inherited from Edward Said, have been proved wanting. Yet if he hadn't written this book, then 'Sea of Poppies' would never have come into being. So I am grateful."
110300+self:USA+fiction,"I recently read a paper by Richard Rorty called ""Human Rights, Rationality, and Sentimentality"" in which he writes:""...the emergence of the human rights culture seems to owe nothing to increased moral knowledge, and everything to hearing sad and sentimental stories...""This struck me as a sharp, powerful insight. It got me thinking about sentimentality, and by chance I happened to run across this book. I wanted to dig more deeply into Rorty's idea, and I hoped that Dalrymple might develop it further. He definitely does. It's true that Dalrymple is an old-fashioned curmudgeon (as some of the other reviewers have noted). But he does he have an interesting personal history (prison psychiatrist, lived in Africa etc.), and he makes many thought-provoking points despite a somewhat rambling style. The book is short and very readable. 
 Sentimentality is an incredibly powerful force in the world of 2015. It's politically reshaping the world. And yet there is almost no analysis of it (at least within my book and media consumption bubble). On that count alone, this is a valuable book. It at least flags this important issue.",Richard Rorty,Linguistic,Somewhat familiar,Low,Richard Rorty is a philosopher whose work might not be widely known outside academic circles in the USA.,American philosopher known for his work in pragmatism and human rights.,"I recently read a paper by philosopher Richard Rorty called 'Human Rights, Rationality, and Sentimentality' where he writes: '...the emergence of the human rights culture seems to owe nothing to increased moral knowledge, and everything to hearing sad and sentimental stories...' This struck me as a sharp, powerful insight. It got me thinking about sentimentality, and by chance, I happened to run across this book. I wanted to dig more deeply into Rorty's idea, and I hoped that Dalrymple might develop it further. He definitely does. It's true that Dalrymple is an old-fashioned, grumpy person (as some of the other reviewers have noted). But he does have an interesting personal history (worked as a psychiatrist in a prison, lived in Africa, etc.), and he makes many thought-provoking points despite a somewhat rambling style. The book is short and very readable. Sentimentality is an incredibly powerful force in the world of 2015. It's politically reshaping the world. And yet there is almost no analysis of it (at least within my book and media consumption bubble). On that count alone, this is a valuable book. It at least flags this important issue."
110300+self:USA+fiction,"I recently read a paper by Richard Rorty called ""Human Rights, Rationality, and Sentimentality"" in which he writes:""...the emergence of the human rights culture seems to owe nothing to increased moral knowledge, and everything to hearing sad and sentimental stories...""This struck me as a sharp, powerful insight. It got me thinking about sentimentality, and by chance I happened to run across this book. I wanted to dig more deeply into Rorty's idea, and I hoped that Dalrymple might develop it further. He definitely does. It's true that Dalrymple is an old-fashioned curmudgeon (as some of the other reviewers have noted). But he does he have an interesting personal history (prison psychiatrist, lived in Africa etc.), and he makes many thought-provoking points despite a somewhat rambling style. The book is short and very readable. 
 Sentimentality is an incredibly powerful force in the world of 2015. It's politically reshaping the world. And yet there is almost no analysis of it (at least within my book and media consumption bubble). On that count alone, this is a valuable book. It at least flags this important issue.",Theodore Dalrymple,Linguistic,Somewhat familiar,Low,The author might not be widely recognized outside specific intellectual or literary circles.,"Pen name of Anthony Daniels, a British cultural critic and retired prison psychiatrist.","I recently read a paper by philosopher Richard Rorty called 'Human Rights, Rationality, and Sentimentality' where he writes: '...the emergence of the human rights culture seems to owe nothing to increased moral knowledge, and everything to hearing sad and sentimental stories...' This struck me as a sharp, powerful insight. It got me thinking about sentimentality, and by chance, I happened to run across this book. I wanted to dig more deeply into Rorty's idea, and I hoped that Dalrymple might develop it further. He definitely does. It's true that Dalrymple is an old-fashioned, grumpy person (as some of the other reviewers have noted). But he does have an interesting personal history (worked as a psychiatrist in a prison, lived in Africa, etc.), and he makes many thought-provoking points despite a somewhat rambling style. The book is short and very readable. Sentimentality is an incredibly powerful force in the world of 2015. It's politically reshaping the world. And yet there is almost no analysis of it (at least within my book and media consumption bubble). On that count alone, this is a valuable book. It at least flags this important issue."
110300+self:USA+fiction,"I recently read a paper by Richard Rorty called ""Human Rights, Rationality, and Sentimentality"" in which he writes:""...the emergence of the human rights culture seems to owe nothing to increased moral knowledge, and everything to hearing sad and sentimental stories...""This struck me as a sharp, powerful insight. It got me thinking about sentimentality, and by chance I happened to run across this book. I wanted to dig more deeply into Rorty's idea, and I hoped that Dalrymple might develop it further. He definitely does. It's true that Dalrymple is an old-fashioned curmudgeon (as some of the other reviewers have noted). But he does he have an interesting personal history (prison psychiatrist, lived in Africa etc.), and he makes many thought-provoking points despite a somewhat rambling style. The book is short and very readable. 
 Sentimentality is an incredibly powerful force in the world of 2015. It's politically reshaping the world. And yet there is almost no analysis of it (at least within my book and media consumption bubble). On that count alone, this is a valuable book. It at least flags this important issue.",curmudgeon,Linguistic,Somewhat familiar,Low,The term 'curmudgeon' is somewhat old-fashioned and might not be commonly used in everyday language.,"A bad-tempered or surly person, often used humorously.","I recently read a paper by philosopher Richard Rorty called 'Human Rights, Rationality, and Sentimentality' where he writes: '...the emergence of the human rights culture seems to owe nothing to increased moral knowledge, and everything to hearing sad and sentimental stories...' This struck me as a sharp, powerful insight. It got me thinking about sentimentality, and by chance, I happened to run across this book. I wanted to dig more deeply into Rorty's idea, and I hoped that Dalrymple might develop it further. He definitely does. It's true that Dalrymple is an old-fashioned, grumpy person (as some of the other reviewers have noted). But he does have an interesting personal history (worked as a psychiatrist in a prison, lived in Africa, etc.), and he makes many thought-provoking points despite a somewhat rambling style. The book is short and very readable. Sentimentality is an incredibly powerful force in the world of 2015. It's politically reshaping the world. And yet there is almost no analysis of it (at least within my book and media consumption bubble). On that count alone, this is a valuable book. It at least flags this important issue."
110300+self:USA+fiction,"I recently read a paper by Richard Rorty called ""Human Rights, Rationality, and Sentimentality"" in which he writes:""...the emergence of the human rights culture seems to owe nothing to increased moral knowledge, and everything to hearing sad and sentimental stories...""This struck me as a sharp, powerful insight. It got me thinking about sentimentality, and by chance I happened to run across this book. I wanted to dig more deeply into Rorty's idea, and I hoped that Dalrymple might develop it further. He definitely does. It's true that Dalrymple is an old-fashioned curmudgeon (as some of the other reviewers have noted). But he does he have an interesting personal history (prison psychiatrist, lived in Africa etc.), and he makes many thought-provoking points despite a somewhat rambling style. The book is short and very readable. 
 Sentimentality is an incredibly powerful force in the world of 2015. It's politically reshaping the world. And yet there is almost no analysis of it (at least within my book and media consumption bubble). On that count alone, this is a valuable book. It at least flags this important issue.",prison psychiatrist,Material,Familiar,Low,"While the concept is familiar, the specific role and experiences might not be well understood.","A psychiatrist who works in a prison, dealing with inmates' mental health.","I recently read a paper by philosopher Richard Rorty called 'Human Rights, Rationality, and Sentimentality' where he writes: '...the emergence of the human rights culture seems to owe nothing to increased moral knowledge, and everything to hearing sad and sentimental stories...' This struck me as a sharp, powerful insight. It got me thinking about sentimentality, and by chance, I happened to run across this book. I wanted to dig more deeply into Rorty's idea, and I hoped that Dalrymple might develop it further. He definitely does. It's true that Dalrymple is an old-fashioned, grumpy person (as some of the other reviewers have noted). But he does have an interesting personal history (worked as a psychiatrist in a prison, lived in Africa, etc.), and he makes many thought-provoking points despite a somewhat rambling style. The book is short and very readable. Sentimentality is an incredibly powerful force in the world of 2015. It's politically reshaping the world. And yet there is almost no analysis of it (at least within my book and media consumption bubble). On that count alone, this is a valuable book. It at least flags this important issue."
